2020-10-22 13:06:42.477 下午 UTC-8,gyro,-0.194397,-0.4037476,0.5906677,,
2020-10-22 13:06:42.477 下午 UTC-8,acc,0.04785156,0.00390625,1.006775,,
2020-10-22 13:06:42.477 下午 UTC-8,acc,0.03369141,-0.01220703,1.000854,,
2020-10-22 13:06:42.477 下午 UTC-8,acc,0.01959229,-0.02966309,0.9907837,,
2020-10-22 13:06:42.519 下午 UTC-8,eeg,889.2674,796.1905,782.4908,888.4615,740.989
2020-10-22 13:06:42.520 下午 UTC-8,eeg,893.2967,795.7875,788.1319,881.6117,708.3516
2020-10-22 13:06:42.520 下午 UTC-8,eeg,898.1319,793.3699,790.9524,880,761.9414
2020-10-22 13:06:42.520 下午 UTC-8,eeg,904.1758,790.1465,792.1612,892.8938,773.6264
2020-10-22 13:06:42.520 下午 UTC-8,eeg,897.326,791.7582,791.3553,892.8938,705.1282
2020-10-22 13:06:42.520 下午 UTC-8,eeg,886.8498,792.1612,792.1612,885.2381,711.1722
2020-10-22 13:06:42.520 下午 UTC-8,eeg,892.4908,788.9377,791.7582,883.6264,723.663
2020-10-22 13:06:42.520 下午 UTC-8,eeg,902.1612,791.7582,791.3553,892.8938,781.685
2020-10-22 13:06:42.520 下午 UTC-8,eeg,902.967,795.3846,789.7436,898.5348,843.3333
2020-10-22 13:06:42.520 下午 UTC-8,eeg,898.9377,794.5787,786.5201,888.4615,768.7912
2020-10-22 13:06:42.520 下午 UTC-8,eeg,890.8792,794.5787,786.9231,875.5677,701.5018
2020-10-22 13:06:42.520 下午 UTC-8,eeg,888.4615,797.3993,789.7436,875.5677,725.6777
2020-10-22 13:06:42.541 下午 UTC-8,gyro,-1.465454,0.1869202,-0.8747864,,
2020-10-22 13:06:42.541 下午 UTC-8,gyro,-1.869202,-0.9719849,-1.816864,,
2020-10-22 13:06:42.541 下午 UTC-8,gyro,-1.600037,-3.222504,-1.652374,,
2020-10-22 13:06:42.541 下午 UTC-8,acc,0.01409912,-0.03771973,0.9829102,,
2020-10-22 13:06:42.541 下午 UTC-8,acc,0.04986572,-0.0456543,0.9876099,,
2020-10-22 13:06:42.541 下午 UTC-8,acc,0.02880859,-0.04229736,0.9876099,,
2020-10-22 13:06:42.583 下午 UTC-8,eeg,894.9084,795.7875,788.5348,887.6557,939.6337
2020-10-22 13:06:42.584 下午 UTC-8,eeg,900.9524,796.1905,785.7143,896.9231,1003.7
2020-10-22 13:06:42.584 下午 UTC-8,eeg,898.5348,794.9817,782.4908,894.9084,812.3077
2020-10-22 13:06:42.584 下午 UTC-8,eeg,889.6703,794.1758,783.2967,888.4615,733.3333
2020-10-22 13:06:42.584 下午 UTC-8,eeg,888.0586,795.3846,788.5348,880.403,672.4908
2020-10-22 13:06:42.584 下午 UTC-8,eeg,890.8792,799.4139,790.1465,888.4615,702.7106
2020-10-22 13:06:42.584 下午 UTC-8,eeg,896.5201,798.2051,787.7289,897.7289,776.0439
2020-10-22 13:06:42.585 下午 UTC-8,touching_forehead,1,,,,
2020-10-22 13:06:42.585 下午 UTC-8,alpha_absolute,0.5806338,,,,
2020-10-22 13:06:42.585 下午 UTC-8,beta_absolute,0.5701457,,,,
2020-10-22 13:06:42.585 下午 UTC-8,delta_absolute,1.19051,,,,
2020-10-22 13:06:42.585 下午 UTC-8,theta_absolute,0.6640962,,,,
2020-10-22 13:06:42.585 下午 UTC-8,gamma_absolute,0.3489305,,,,
2020-10-22 13:06:42.585 下午 UTC-8,horseshoe,2,1,1,2,
2020-10-22 13:06:42.584 下午 UTC-8,eeg,893.2967,797.3993,788.1319,893.6996,756.3004
2020-10-22 13:06:42.585 下午 UTC-8,eeg,884.8351,794.5787,788.9377,880,876.7766
2020-10-22 13:06:42.585 下午 UTC-8,eeg,885.2381,790.5494,787.7289,877.1795,808.6813
2020-10-22 13:06:42.585 下午 UTC-8,eeg,889.2674,793.7729,786.5201,886.8498,691.8315
2020-10-22 13:06:42.585 下午 UTC-8,eeg,894.5055,793.7729,790.1465,892.0879,726.8865
2020-10-22 13:06:42.585 下午 UTC-8,gyro,0.2243042,-5.031891,0.6130981,,
2020-10-22 13:06:42.585 下午 UTC-8,gyro,2.788849,-6.130981,3.484192,,
